GEO_ID,NAME,county_fips,population_total,median_age_years,female_pct
0500000US12113,"Santa Rosa County, Florida",12113,198472,40.1,
0500000US12115,"Sarasota County, Florida",12115,459547,57.4,
0500000US12117,"Seminole County, Florida",12117,481470,39.8,
0500000US12119,"Sumter County, Florida",12119,143408,68.5,
0500000US12121,"Suwannee County, Florida",12121,45342,42.3,
0500000US12123,"Taylor County, Florida",12123,21503,43.9,
0500000US12125,"Union County, Florida",12125,15701,39.6,
0500000US12127,"Volusia County, Florida",12127,579622,46.5,
0500000US12129,"Wakulla County, Florida",12129,35387,42.3,
0500000US12131,"Walton County, Florida",12131,82948,43.9,
0500000US12133,"Washington County, Florida",12133,25529,41.7,
0500000US13001,"Appling County, Georgia",13001,18493,39.6,
0500000US13003,"Atkinson County, Georgia",13003,8337,35.9,
0500000US13005,"Bacon County, Georgia",13005,11109,40.6,
0500000US13007,"Baker County, Georgia",13007,2790,50.3,
0500000US13009,"Baldwin County, Georgia",13009,43642,36.5,
0500000US13011,"Banks County, Georgia",13011,19264,42.1,
0500000US13013,"Barrow County, Georgia",13013,89886,36.4,
0500000US13015,"Bartow County, Georgia",13015,113113,38.2,
0500000US13017,"Ben Hill County, Georgia",13017,17089,38.7,
0500000US13019,"Berrien County, Georgia",13019,18352,40.5,
0500000US13021,"Bibb County, Georgia",13021,156578,36.8,
0500000US13023,"Bleckley County, Georgia",13023,12430,37.7,
0500000US13025,"Brantley County, Georgia",13025,18315,40.5,
0500000US13027,"Brooks County, Georgia",13027,16293,43.5,
0500000US13029,"Bryan County, Georgia",13029,48263,35.0,
0500000US13031,"Bulloch County, Georgia",13031,82683,30.5,
0500000US13033,"Burke County, Georgia",13033,24470,38.3,
0500000US13035,"Butts County, Georgia",13035,26496,37.8,
0500000US13037,"Calhoun County, Georgia",13037,5498,40.2,
0500000US13039,"Camden County, Georgia",13039,56970,34.7,
0500000US13043,"Candler County, Georgia",13043,11043,40.4,
0500000US13045,"Carroll County, Georgia",13045,124569,35.4,
0500000US13047,"Catoosa County, Georgia",13047,68634,40.8,
0500000US13049,"Charlton County, Georgia",13049,12818,37.1,
0500000US13051,"Chatham County, Georgia",13051,300879,37.2,
0500000US13053,"Chattahoochee County, Georgia",13053,8887,24.4,
0500000US13055,"Chattooga County, Georgia",13055,25036,41.1,
0500000US13057,"Cherokee County, Georgia",13057,281032,40.2,
0500000US13059,"Clarke County, Georgia",13059,129609,29.6,
0500000US13061,"Clay County, Georgia",13061,2850,45.3,
0500000US13063,"Clayton County, Georgia",13063,298924,33.7,
0500000US13065,"Clinch County, Georgia",13065,6759,37.7,
0500000US13067,"Cobb County, Georgia",13067,775208,37.5,
0500000US13069,"Coffee County, Georgia",13069,43347,36.0,
0500000US13071,"Colquitt County, Georgia",13071,46224,37.2,
0500000US13073,"Columbia County, Georgia",13073,162434,37.9,
0500000US13075,"Cook County, Georgia",13075,17532,37.5,
0500000US13077,"Coweta County, Georgia",13077,152852,39.2,
0500000US13079,"Crawford County, Georgia",13079,12225,45.1,
0500000US13081,"Crisp County, Georgia",13081,19790,38.8,
0500000US13083,"Dade County, Georgia",13083,16165,42.1,
0500000US13085,"Dawson County, Georgia",13085,30242,42.7,
0500000US13087,"Decatur County, Georgia",13087,29195,38.9,
0500000US13089,"DeKalb County, Georgia",13089,765351,36.4,
0500000US13091,"Dodge County, Georgia",13091,19805,42.6,
0500000US13093,"Dooly County, Georgia",13093,10984,46.3,
0500000US13095,"Dougherty County, Georgia",13095,83091,36.6,
0500000US13097,"Douglas County, Georgia",13097,147888,36.9,
0500000US13099,"Early County, Georgia",13099,10603,41.1,
0500000US13101,"Echols County, Georgia",13101,3709,30.5,
0500000US13103,"Effingham County, Georgia",13103,69143,37.0,
0500000US13105,"Elbert County, Georgia",13105,19849,43.2,
0500000US13107,"Emanuel County, Georgia",13107,23026,38.3,
0500000US13109,"Evans County, Georgia",13109,10757,38.3,
0500000US13111,"Fannin County, Georgia",13111,25742,54.0,
0500000US13113,"Fayette County, Georgia",13113,122244,43.4,
0500000US13115,"Floyd County, Georgia",13115,99693,38.2,
0500000US13117,"Forsyth County, Georgia",13117,267287,39.7,
0500000US13119,"Franklin County, Georgia",13119,24234,40.1,
0500000US13121,"Fulton County, Georgia",13121,1076561,36.4,
0500000US13123,"Gilmer County, Georgia",13123,32426,50.0,
0500000US13125,"Glascock County, Georgia",13125,2932,41.6,
0500000US13127,"Glynn County, Georgia",13127,85447,43.4,
0500000US13129,"Gordon County, Georgia",13129,59100,38.9,
0500000US13131,"Grady County, Georgia",13131,26108,39.4,
0500000US13133,"Greene County, Georgia",13133,20109,53.1,
0500000US13135,"Gwinnett County, Georgia",13135,979864,36.0,
0500000US13137,"Habersham County, Georgia",13137,47793,39.4,
