county_fips,state_fips,tract_count,population_2020_sum,households_without_vehicle_count_sum,snap_households_count_sum,driving_low_access_population_beyond_1mi_10mi_count_sum,driving_no_vehicle_households_beyond_1mi_count_sum,driving_snap_households_beyond_1mi_count_sum,straight_low_access_population_beyond_1mi_10mi_count_sum,straight_no_vehicle_households_beyond_1mi_count_sum,straight_snap_households_beyond_1mi_count_sum,urban_tract_count,low_income_tract_tract_count,driving_low_income_low_access_tract_count,driving_low_vehicle_access_tract_count,straight_low_income_low_access_tract_count,straight_low_vehicle_access_tract_count
48053,48,15,49130,783.0,1531.0,11676,550.0,869.0,4083,455.0,626.0,4,4,2.0,1.0,1.0,1.0
48055,48,11,45883,597.0,1893.0,3255,258.0,1031.0,1529,197.0,712.0,4,8,1.0,0.0,1.0,0.0
48057,48,7,20106,445.0,1357.0,1468,196.0,394.0,343,173.0,319.0,2,1,0.0,1.0,0.0,1.0
48059,48,3,13708,139.0,556.0,1123,70.0,321.0,680,51.0,251.0,0,1,1.0,0.0,0.0,0.0
48061,48,121,421017,9157.0,34273.0,30653,1256.0,6138.0,4996,567.0,2933.0,92,96,10.0,6.0,2.0,4.0
48063,48,3,12464,322.0,800.0,55,216.0,397.0,0,188.0,321.0,0,2,0.0,1.0,0.0,1.0
48065,48,2,5807,93.0,101.0,256,40.0,41.0,67,35.0,36.0,0,0,0.0,0.0,0.0,0.0
48067,48,9,28454,710.0,1963.0,3997,489.0,1346.0,1850,412.0,1129.0,2,6,3.0,2.0,1.0,2.0
48069,48,3,7371,41.0,228.0,1248,25.0,117.0,471,21.0,90.0,0,3,2.0,0.0,0.0,0.0
48071,48,7,46571,581.0,995.0,2904,420.0,703.0,316,306.0,483.0,1,1,0.0,2.0,0.0,1.0
48073,48,14,50412,1186.0,2668.0,4699,658.0,1511.0,1456,519.0,1161.0,4,8,4.0,3.0,2.0,1.0
48075,48,2,6664,86.0,162.0,1177,26.0,45.0,475,15.0,24.0,1,1,1.0,0.0,0.0,0.0
48077,48,3,10218,103.0,273.0,1772,68.0,190.0,515,60.0,171.0,0,0,0.0,0.0,0.0,0.0
48079,48,1,2547,50.0,200.0,159,10.0,41.0,142,9.0,38.0,0,1,0.0,0.0,0.0,0.0
48081,48,2,3285,58.0,234.0,1156,36.0,150.0,865,34.0,141.0,0,2,1.0,0.0,1.0,0.0
48083,48,3,7684,282.0,439.0,4020,152.0,252.0,2452,87.0,163.0,1,2,2.0,1.0,2.0,1.0
48085,48,220,1064465,13472.0,12768.0,213315,2551.0,3347.0,75383,897.0,1838.0,202,24,6.0,24.0,3.0,14.0
48087,48,1,2652,19.0,169.0,372,6.0,53.0,193,5.0,46.0,0,1,0.0,0.0,0.0,0.0
48089,48,5,20557,371.0,757.0,1643,189.0,395.0,97,158.0,335.0,0,2,0.0,0.0,0.0,0.0
